Epoch,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22
1,0.04225452,0.042553432,0.042532407,0.04225452,0.04225452,0.04225452,0.042556528,0.110072225,0.042570718,0.04251933,0.042499557,0.04225452,0.04225452,0.04257172,0.04255546,0.0425144,0.04225452,0.04225452,0.04225452,0.04225452,0.04225452,0.04225452
2,0.042244267,0.042528383,0.04251161,0.042244267,0.042244267,0.042244267,0.042534806,0.11037194,0.04255629,0.042506784,0.042485002,0.042244267,0.042244267,0.042553164,0.042531688,0.042489175,0.042244267,0.042244267,0.042244267,0.042244267,0.042244267,0.042244267
3,0.042214572,0.04247228,0.042442232,0.042214572,0.042214572,0.042214572,0.04249058,0.11117175,0.04251328,0.04243457,0.042214572,0.042214572,0.042214572,0.042515192,0.042492166,0.042447723,0.042214572,0.042214572,0.042445414,0.042214572,0.042214572,0.042214572
4,0.042168163,0.042413056,0.04239317,0.042168163,0.042168163,0.042168163,0.04241025,0.11225678,0.04245724,0.042391535,0.042168163,0.042168163,0.042168163,0.042449005,0.04243033,0.042392008,0.042168163,0.042168163,0.0423887,0.042168163,0.042168163,0.042168163
5,0.042169288,0.042411275,0.04239549,0.042169288,0.042169288,0.042169288,0.042405106,0.11218035,0.0424626,0.042400695,0.042169288,0.042169288,0.042169288,0.042453483,0.04244034,0.042406816,0.042169288,0.042169288,0.042412374,0.042169288,0.042169288,0.042169288
