Epoch,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22
1,0.042254325,0.04255278,0.042542417,0.04250799,0.042254325,0.042254325,0.042556923,0.11004185,0.042571176,0.04253116,0.042254325,0.042254325,0.042254325,0.0425688,0.042552404,0.042522635,0.042254325,0.042254325,0.042254325,0.042254325,0.042254325,0.042254325
2,0.04226363,0.042577248,0.042565387,0.04226363,0.04226363,0.04226363,0.042572707,0.10970583,0.042591963,0.04253652,0.04226363,0.04226363,0.04226363,0.042615473,0.04259399,0.042537924,0.04226363,0.04226363,0.04253936,0.04226363,0.04226363,0.04226363
3,0.042302545,0.042623576,0.04261568,0.042302545,0.042302545,0.042302545,0.042630944,0.10863147,0.042655736,0.042598486,0.042302545,0.042302545,0.042302545,0.04269693,0.0426693,0.04262444,0.042302545,0.042302545,0.042622928,0.042302545,0.042302545,0.042302545
4,0.042329688,0.04264109,0.042640254,0.042329688,0.042329688,0.042329688,0.042655133,0.10805626,0.04270033,0.042627513,0.042329688,0.042329688,0.042329688,0.04273446,0.04270636,0.042639382,0.042329688,0.042329688,0.04264287,0.042329688,0.042329688,0.042329688
5,0.042385474,0.04272084,0.042715985,0.042385474,0.042385474,0.042385474,0.042740464,0.10663156,0.042786106,0.04270401,0.042385474,0.042385474,0.042385474,0.04282806,0.042794615,0.042716652,0.042385474,0.042385474,0.042736005,0.042385474,0.042385474,0.042385474
6,0.042424053,0.042771,0.04276722,0.042424053,0.042424053,0.042424053,0.042789966,0.10572597,0.042849015,0.042752586,0.042424053,0.042424053,0.042424053,0.042895757,0.042831156,0.042739563,0.042424053,0.042424053,0.042789083,0.042424053,0.042424053,0.042424053
7,0.042449158,0.04279984,0.04279457,0.042449158,0.042449158,0.042449158,0.042827018,0.10501935,0.042892363,0.04278583,0.042449158,0.042449158,0.042449158,0.04293684,0.042883486,0.04280391,0.042449158,0.042449158,0.042866904,0.042449158,0.042449158,0.042449158
8,0.04252338,0.042896226,0.042870782,0.04252338,0.04252338,0.04252338,0.04293765,0.103345186,0.04298807,0.042859107,0.04252338,0.04252338,0.04252338,0.043039627,0.042981647,0.042876903,0.04252338,0.04252338,0.042924166,0.04252338,0.04252338,0.04252338
9,0.04256148,0.042971708,0.042958163,0.04256148,0.04256148,0.04256148,0.042981204,0.10224029,0.043061554,0.042957768,0.04256148,0.04256148,0.04256148,0.04309789,0.04304638,0.042960986,0.04256148,0.04256148,0.04298632,0.04256148,0.04256148,0.04256148
10,0.0425904,0.04300057,0.042979777,0.0425904,0.0425904,0.0425904,0.043005135,0.10158244,0.04309139,0.042974323,0.0425904,0.0425904,0.0425904,0.04313158,0.04308879,0.0430013,0.0425904,0.0425904,0.043059915,0.0425904,0.0425904,0.0425904
11,0.042613234,0.04300978,0.04296895,0.042613234,0.042613234,0.042613234,0.043004736,0.101326756,0.0431058,0.042961504,0.042613234,0.042613234,0.042613234,0.043138485,0.043089263,0.042990945,0.042613234,0.042613234,0.04304498,0.042613234,0.042613234,0.042613234
12,0.042648636,0.043057926,0.04302949,0.043022256,0.042648636,0.042648636,0.04307507,0.10046704,0.043154683,0.042648636,0.042648636,0.042648636,0.042648636,0.043188144,0.043122083,0.043030817,0.042648636,0.042648636,0.043068882,0.042648636,0.042648636,0.042648636
13,0.04271191,0.04314863,0.04271191,0.043127734,0.04271191,0.04271191,0.043155957,0.098777466,0.043263935,0.043129206,0.04271191,0.04271191,0.04271191,0.043268755,0.04322749,0.04316196,0.04271191,0.04271191,0.043196008,0.04271191,0.04271191,0.04271191
14,0.042741068,0.0431831,0.042741068,0.04318689,0.042741068,0.042741068,0.043186054,0.09811765,0.043298453,0.04317536,0.042741068,0.042741068,0.042741068,0.043291852,0.043252334,0.043186206,0.042741068,0.042741068,0.043229237,0.042741068,0.042741068,0.042741068
15,0.042773984,0.043222424,0.042773984,0.043225307,0.042773984,0.042773984,0.04322216,0.097360544,0.043344494,0.04321914,0.042773984,0.042773984,0.042773984,0.043321546,0.04330067,0.043231744,0.042773984,0.042773984,0.043264113,0.042773984,0.042773984,0.042773984
16,0.042853918,0.04334029,0.042853918,0.04333203,0.042853918,0.042853918,0.043344717,0.095388256,0.043463767,0.043333836,0.042853918,0.042853918,0.042853918,0.043421958,0.043409,0.043344535,0.042853918,0.042853918,0.043374546,0.042853918,0.042853918,0.042853918
17,0.04290633,0.043400556,0.04290633,0.043390248,0.04290633,0.04290633,0.04341188,0.09410918,0.0435339,0.04340196,0.04290633,0.04290633,0.04290633,0.043496303,0.043484695,0.043417078,0.04290633,0.04290633,0.04347831,0.04290633,0.04290633,0.04290633
18,0.04295497,0.043460466,0.04295497,0.043459326,0.04295497,0.04295497,0.043479595,0.09297459,0.043611847,0.043469556,0.04295497,0.04295497,0.04295497,0.04354267,0.04354573,0.043491725,0.04295497,0.04295497,0.043504745,0.04295497,0.04295497,0.04295497
19,0.043076888,0.04363713,0.043076888,0.043076888,0.043076888,0.043076888,0.04366007,0.090029076,0.04379041,0.043606114,0.043076888,0.043076888,0.043076888,0.043724723,0.04372046,0.043628298,0.043076888,0.043076888,0.043682247,0.043598894,0.043076888,0.043076888
20,0.043098837,0.04366206,0.043098837,0.04366096,0.043098837,0.043098837,0.043675013,0.089578256,0.043811634,0.04365914,0.043098837,0.043098837,0.043098837,0.043730102,0.043736443,0.043648783,0.043098837,0.043098837,0.043651547,0.043098837,0.043098837,0.043098837
21,0.043112252,0.04368283,0.043642946,0.043667298,0.043112252,0.043112252,0.043694302,0.08934651,0.043828133,0.04366252,0.043112252,0.043112252,0.043112252,0.04372917,0.04373513,0.043664146,0.043112252,0.043112252,0.043112252,0.043112252,0.043112252,0.043112252
22,0.043123778,0.043702617,0.043123778,0.043123778,0.043123778,0.043123778,0.04367422,0.08897483,0.043841172,0.04367056,0.043123778,0.043123778,0.043123778,0.043761298,0.043764662,0.04370427,0.043123778,0.043123778,0.04374405,0.043676957,0.043123778,0.043123778
23,0.043171067,0.043770324,0.043171067,0.043171067,0.043171067,0.043171067,0.043171067,0.08779053,0.04390782,0.043171067,0.04373996,0.043171067,0.043171067,0.043835428,0.043845702,0.04378872,0.043744493,0.043747447,0.043776803,0.043171067,0.043171067,0.043171067
24,0.0432063,0.04383657,0.0432063,0.0432063,0.0432063,0.0432063,0.043823633,0.08672304,0.043966785,0.043818608,0.0432063,0.0432063,0.0432063,0.043906838,0.043905552,0.043846868,0.0432063,0.0432063,0.04387371,0.043822836,0.0432063,0.0432063
25,0.043264028,0.043928917,0.043264028,0.043914165,0.043264028,0.043264028,0.0439149,0.08534669,0.044048026,0.043902382,0.043264028,0.043264028,0.043264028,0.043982163,0.043973967,0.0439117,0.043264028,0.043264028,0.04390874,0.043264028,0.043264028,0.043264028
26,0.043313358,0.043991596,0.043313358,0.043936774,0.043313358,0.043313358,0.043942764,0.08424709,0.044114698,0.04395751,0.043313358,0.043313358,0.043313358,0.04404772,0.044043086,0.043986544,0.043313358,0.043313358,0.043971926,0.043313358,0.043313358,0.043313358
27,0.043335564,0.04402526,0.043335564,0.043983433,0.043335564,0.043335564,0.044022057,0.08370645,0.044144638,0.0439774,0.043335564,0.043335564,0.043335564,0.04407434,0.04405973,0.043994986,0.043335564,0.043335564,0.043984856,0.043335564,0.043335564,0.043335564
28,0.043362364,0.044065475,0.044013254,0.044022247,0.043362364,0.043362364,0.043362364,0.083084114,0.044187076,0.044036794,0.04402188,0.043362364,0.043362364,0.044095278,0.044093587,0.044031873,0.043362364,0.043362364,0.043362364,0.043362364,0.043362364,0.043362364
